Author Name,WORK IDs,CTS-URN/s,# of translations,Edition Title,Editor; Translator,Publisher,Date,Original File Name/Location,Addiional File location/locations,Source Edition LInk,Translation Language,Worldcat Link,Work/s Split Up/Renamed in Branch,New File Name/s,Notes,TOC,Additional TOC
Ammianus Marcellinus,stoa0023.stoa001,urn:cts:latinLit:stoa0023.stoa001.ogl-eng1,1,The Roman History,"Yonge, Charles Duke, 1812-1891",Bell,1894,ammianusMarcellinus_1894.xml,,http://www.archive.org/details/romanhistoryof00ammiiala,English,,yes,stoa0023.stoa001.ogl-eng1.xml,,,
Anacreon,0237.002,urn:cts:greekLit:tlg0237.tlg002.ogl-eng1,1,The Odes of Anacreon,"Moore, Thomas",Hugh Maxwell,1804,anacreon_1804.xml,,https://archive.org/stream/odesofanacr00anac#page/n11/mode/2up,English,,yes,tlg0237.tlg002.ogl-eng1.xml,,,
Anacreon,0237.002,urn:cts:greekLit:tlg0237.tlg002.ogl-fre1,1,Odes d’Anacreon de Teos,"Pivet, L.",F. Lebègue,1922?,anacreon_nd.xml,,https://hdl.handle.net/2027/njp.32101056287665,French,,,,,,
Anacreon;  Homerica; Theophrastus; Xenophon; Apuleius,0237.002 1220.001 0093.009 0032.004 0032.003 1212.2,urn:cts:greekLit:tlg0237.tlg002.ogl-ger1 urn:cts:greekLit:tlg1220.tlg001.ogl-ger1 urn:cts:greekLit:tlg0093.tlg009.ogl-ger1 urn:cts:greekLit:tlg0032.tlg004.ogl-ger1 urn:cts:greekLit:tlg0032.tlg003.ogl-ger1 urn:cts:latinLit:phi1212.phi002.ogl-ger1,6,"Anakreon Werke;  Homer's Froschmausekrieg; Theophrast's Charakter-Bilder; Das Gastmahl des Kallias von Xenophon, Xenophons Wirtschaftslehre; Amor und Psyche","Jungans, H.A.; Oberbreyer, Max; Meyer, Paul Erich; Hodermann, Max; Jachmann, Reinhold","Reclam, Philipp",Various,anacreon_1870,,http://hdl.handle.net/2027/uc1.b4937548,German,,,,This is actually a number of different German translations bound into one volume-all sent back-Anacreon-Homer-THeophrastus-Xenophon-Apuleius,"To fix: Line 10759 <title type=""main"">Amor und Usyche.</title>",
Anthologia Graeca,0700.001,urn:cts:greekLit:tlg7000.tlg001.ogl-eng1,1,The Greek Anthology,"Burges, George, 1786?-1864)",Bell,1893,greekAnthology_1893,,http://hdl.handle.net/2027/inu.32000000978272,English,,,,"This contains numerous literal translations, selected arrangements for British public schools, matched up with metrical translations.",,
Anthologia Graeca,0700.001,urn:cts:greekLit:tlg7000.tlg001.ogl-fre1,1,"Anthologie Grecque, Volume 2","Dehèque, Félix Désiré   1794-1870., Jacobs, Friedrich   1764-1847

                                  
                                                             
                                                             
                                                             
                   ",Hachette,1863,,,https://hdl.handle.net/2027/chi.20483190,French,,,,,,
Anthologia Graeca,0700.001,urn:cts:greekLit:tlg7000.tlg001.ogl-fre2,1,Choix D'Epigramme,"Chopin, James Dominique",Hachette,1854,anthologieGrecs_epigrams_1854.xml,,https://hdl.handle.net/2027/hvd.32044085087179,French,,,,,,
Anthologia Graeca,0700.001,urn:cts:greekLit:tlg7000.tlg001.ogl-ger1,1,Epigramme der griechischen Anthologie,"Regis, Gottlob (Johann Gottlob), 1791-1854
                           ",Hoffman,1856,AnthologiaGraeca_1856,,http://hdl.handle.net/2027/nyp.33433074382213,German,,,,,,
Apollodorus,0548.001,urn:cts:greekLit:tlg0548.tlg001.ogl-ita1,1,Biblioteca di Apollodoro,"Compagnoni, Guiseppe, 1754-1833",Milan,1826,apollodorus_1826.xml,,https://hdl.handle.net/2027/uc1.b3114448,Italian ,http://www.worldcat.org/oclc/556514848,,,,,
Apollonius Rhodius,0001.001,urn:cts:greekLit:tlg0001.tlg001.opp-eng1,1,The Argonautica of Apollonius Rhodius,"Coleridge, Edward P. (Edward Philip), 1863-1936",Bell,1889,,,https://archive.org/details/apollonius-theargonauticaof00apoliala,English,,yes,tlg0001.tlg001.opp-eng1.xml,,,
